Break a leg!,"na. 〈非正式〉祝好运
"
break down,"v. 分解；抛锚；分析；划分
"
break even,"na. 扯平；不赔不赚；(球赛)不分胜负
"
break ground for sth.,无
break ground,"na. 破土；耕田；破土(动工)；开工
"
break in on ...,"na. 拦阻；打扰；突然出现
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into sth.,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break ... in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break loose from ...,无
break loose,"na. 脱出；迸发出来；逃出；“break/cut loose”的变体
"
break new ground,"na. “break fresh ground”的变体
"
break off with sb.,"na. 与…绝交；破除(恶习等)
"
break off sth.,"v. 断绝；摘；把…折断；使脱落
"
break one's neck,"na. 折断颈骨(致死)
"
break one's back, 辛勤工作
break one's heart, 为之心碎
break ... down,"v. 分解；抛锚；分析；划分
"
break down ...,"v. 分解；抛锚；分析；划分
"
break ... up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
break the ice,"na. 带个头；使气氛活跃；起头；打破沉闷
"
break the news to sb.,"na. (向某人)委婉传达不幸的消息
"
break away from ...,"v. 脱离；离开；断绝与…的关系
"
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break camp, 打好背包，离开露营地
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break out in sth.,"v. 突然…起来
"
break out into tears,无
break into tears, 突然大哭；突然哭起来；放声大哭
break out in tears,无
break out of sth., 摆脱；突破；跑出
break one's fall, 阻止摔倒
break sth. off,"v. 断绝；摘；把…折断；使脱落
"
break off sth.,"v. 断绝；摘；把…折断；使脱落
"
break sth. to pieces,"na. 打碎
"
break the back of sth.,"na. 办完(某事)的极困难部分；毁坏；伤其要害；克服某事最艰巨的部分
"
break through sth.,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
bring home the bacon,"na. 成功；得胜；谋生；如愿以偿
"
bring ... around,"na. 说服；〈口〉使恢复知觉[等]；〈口〉把(某人)作为客人带来
"
bring ... back,"na. 送回；使恢复；使回忆起
"
bring back ...,"na. 送回；使恢复；使回忆起
"
bring ... out,"na. 公布；说出；出版；上演
"
bring out ...,"na. 公布；说出；出版；上演
"
bring ... up,"na. 抚养；教导；教育；在…长大
"
bring up ...,"na. 抚养；教导；教育；在…长大
"
bring sb. to account,"na. 责问
"
call sb. to account,"na. 质问
"
bring sb. up to date on ...,无
bring sb. up to date, 使现代化；使不过时；使明确
bring sth. about,"na. 造成；带来；【航】(使船)回转
"
bring about sth.,"na. 造成；带来；【航】(使船)回转
"
bring sth. into question,带来问题
bring sth. to a halt,na. 使停止
bring sb. to,"na. 使恢复知觉；【航】使停船
"
bring sth. crashing down around sb.,无
bring sth. crashing down,无
bring sth. off,"na. 办完；(从失事船只上)救出
"
bring off sth.,"na. 办完；(从失事船只上)救出
"
call a halt to sth.,命令停止；途中休息；停止前进(或进攻等)
call a halt,"na. 喝令停止；命令停止；命令立定
"
call a meeting,"na. 召集会议；召集大会
"
call a spade a spade,"na. 直言不讳；是什么说什么
"
call it a day,"na. 今天就这样算了
"
call it quits,"na. 就此罢休；就此算了；辞职；停止
"
call ... back,"na. 取消；喊回；回一个电话；再打一个电话来
"
call back ...,"na. 取消；喊回；回一个电话；再打一个电话来
"
call sb. names,"na. 咒骂
"
call sb. on the carpet, 责备某人
call ... into question, 质疑；使……受到质疑；怀疑
call ... off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call sb. up,"na. 传；动员；打电话给；【电讯】呼唤
"
call a place up,无
call one's attention to sth.,无
call sth. to one's attention,无
call one's bluff,"揭某人底牌
向某人叫板
揭露某人虚张声势的做法"
call the dogs off, 停止追逐；叫你的狗不要再来骚扰我；停止查询
call the shots,"na. “call the tune”的变体
"
call the tune,"na. “call one's own tune”的变体
"
call for ...,"na. 呼吁；主张；需要；接(某人)
"
call on sb.,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call upon sb.,"na. “call on”的变体；同“call on ”
"
call sb. down,"na. 祈求；招惹(灾祸等)；申斥
"
call ... in,"na. 招；叫进；引入；调入
"
call sb. out,"na. 呼喊；大声叫唤；召集；号召罢工
"
call sth. to order,"na. (主席)请发言人遵守会场规则；〔美国〕宣布开会
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across ...,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
run across ...,"na. “Come across”的变体
"
come apart at the seams, 崩溃；破裂；失败
come away empty-handed,无
come between sb. and sb. else,无
come down hard on ...,"向…索取(钱等);申斥,严厉惩罚;强烈反对"
come down on ... hard,无
come down in the world,"na. 没落
"
come down to earth,"na. “come back to earth”的变体
"
come down to sth.,"v. 降至；归结起来；变为；归结为
"
come down with sth.,"na. 生病；得(病)
"
come from far and wide,无
come hell or high water,"un. 揍个屁滚尿流；无论怎样
"
come home to roost,na. 还归原主；得到恶报
come home,"na. 回国；回家；使人沉痛地感到；【航】锚脱掉
"
come in a body,无
arrive in a body,无
come in handy,"na. 迟早有用
"
come in out of the rain,无
come into one's own,"na. 取得属于自己的财产[东西]；获得应有的名誉[信用等]
"
come of age,"na. 成年；达成人年龄
"
come off it,"un. 脱落；不要吹牛皮
"
come off second best, 居第二位；输掉；被击败
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out ahead,无
come out in the wash,"na. 暴露
"
come out of one's shell,"na. 不再羞怯沉默
"
come out of the closet, 出柜；走出衣柜；公开出柜
come out with sth.,"na. 发表；讲出；泄露(秘密)；展出
"
come to a dead end,"na. 走投无路
"
come to a head,"na. (时机,事件等)成熟；逼近严重关头；(疮,疖等)化脓
"
come to a standstill, 停摆；停止；停下来不前进
come to blows over sth.,无
come to blows,"na. 互相打起来；开战
"
come to grips with sth.,"na. 扭在一起；开始努力对付
"
come to life,"na. 苏醒过来
"
come to light,"na. 显露
"
come to mind, 想到；出现在脑海中；想起
come to nothing,"na. 等于零；失败
"
